C:\Agilent\ICPMH\1\DATA\181022\181022a_grt_nogas.b\002.d
Intensity Vs Time,CPS
Acquired      : 10/22/2018 12:43:29 PM using Batch 181022a_grt_nogas.b
Time [Sec],Li7,Mg24,Al27,Si29,Ca43,Sc45,Ti49,V51,Cr53,Mn55,Fe57,Co59,Ni60,Zn66,Ga71,Y89,Zr90,Nb93,In115,Sn118,La139,Ce140,Pr141,Nd146,Sm147,Eu153,Gd157,Tb159,Dy163,Ho165,Er166,Tm169,Yb172,Lu175,Hf178,Pb208,Th232,U238
22.6796,1520524.63,2181935.80,52955511.89,31980567.44,889390.71,3114725.36,222720.31,4140964.14,366575.17,5054144.86,103789.61,3217445.90,973351.46,620486.33,2197044.02,5713335.92,3677432.20,6320819.37,5771042.51,1727777.63,5584538.05,5461742.54,6972356.00,1144162.01,1031178.32,3900034.03,1151545.21,6861983.23,1883439.14,7331790.40,2581686.45,7763084.57,1633652.16,7295647.71,2134405.38,3517744.96,3430447.13,2502014.49
23.0845,1573424.65,2233198.86,60492044.96,32777716.31,940793.84,3235282.27,222113.13,4225763.70,394334.13,5433680.43,113345.31,3505398.34,1026723.93,618211.62,2188529.22,5679660.77,3521432.32,6237752.02,6051689.39,1571519.20,5768258.89,5617388.89,6731973.61,1176429.49,999595.21,3660781.81,1103739.55,7374024.42,2047970.84,7663604.98,2686675.85,7800639.11,1695250.52,7193015.64,2038522.43,3781500.39,3645461.85,2525269.03
23.4895,1562028.24,2364574.57,55488796.61,29896874.78,978872.09,3239496.58,246415.19,4300594.29,389432.52,5289415.23,105298.07,3355236.89,977565.23,631243.07,2158553.12,5806082.99,3569876.31,6295541.06,6071801.37,1606298.27,5868306.80,5515712.54,6894681.15,1141386.72,1003524.90,3825949.84,1148981.15,7544752.64,1936868.20,7582962.33,2629004.80,7483292.98,1696869.98,7434217.19,2116108.01,3699709.26,3648895.34,2517933.53
23.8945,1651777.27,2369655.71,54000162.35,31815768.10,925905.23,3264596.46,219482.32,4352867.99,380653.64,5437269.69,91223.80,3441343.01,991266.41,650496.29,2126137.10,5854338.92,3546981.71,6011557.91,5764770.11,1574575.10,5812570.96,5584504.72,6874602.11,1120053.03,1000230.57,3883434.37,1084994.04,7487479.78,1994570.45,7697998.43,2632163.25,7372452.68,1745748.22,7344594.40,2181752.78,3713798.38,3652449.30,2460823.30
24.2985,1566221.09,2327689.26,55824790.98,30847558.06,982382.14,3130482.51,235677.88,4065373.20,388411.55,5084827.26,105800.92,3365806.86,978408.11,608289.21,2120759.33,5658174.40,3560815.90,5724532.00,5950180.04,1569976.70,5726131.99,5446218.40,6813691.23,1138612.01,1002560.35,3589354.71,1109921.39,6917448.38,1890436.82,6993343.64,2614177.60,7167034.95,1555417.53,7126232.69,2016601.24,3700274.11,3594832.95,2437869.36
24.7040,1518160.39,2190573.74,51733415.18,28918865.69,880374.37,2999730.70,213614.87,4179995.17,366159.35,5064970.53,100773.04,3293532.79,905009.57,559579.64,2051097.26,5283712.53,3396364.50,5873861.31,5530763.43,1523497.89,5630869.34,5229960.41,6400521.36,1080865.53,935331.25,3684838.46,1039279.10,6782931.76,1661262.55,6940139.45,2476550.83,7094484.41,1579444.42,6714203.35,1974095.51,3330115.98,3395208.69,2307405.65
25.1090,1461085.99,2183027.31,52367116.77,28136407.43,822317.10,2975901.30,225958.86,3814987.45,348227.91,4733137.42,91726.28,3058239.60,908368.26,569270.21,2024507.17,5397363.57,3279821.27,5376978.57,5396367.12,1400446.92,5146562.19,5022773.93,6195149.26,984119.82,955177.44,3427672.32,1039703.71,6611859.21,1759115.46,6782316.97,2424670.27,6604216.84,1516933.27,6477917.08,1912282.50,3417394.28,3359518.47,2262498.71
25.5140,1437258.82,2027073.93,47807312.28,27979734.14,975085.16,2863106.75,201481.10,3706406.00,352507.30,4569420.73,94238.83,2969803.42,952928.42,545156.35,1965127.60,5132912.74,3087579.74,5383298.15,5246347.35,1297674.12,4981595.15,4912485.05,6023116.43,961283.40,890863.77,3255304.44,978016.02,6410112.98,1661778.77,6621618.58,2270403.11,6624391.00,1451507.10,6297405.90,1855578.49,3222438.30,3129263.87,2063826.30
25.9190,1358056.55,2037894.88,43902709.09,26871007.29,895042.09,2691993.70,200268.18,3548993.52,347005.40,4859803.65,98762.27,2879863.29,867473.93,534037.35,1876568.64,5016224.91,2956228.09,5184488.88,5181062.57,1213803.61,4750187.66,4783729.21,5970075.45,940287.40,891074.32,3174906.09,918863.96,6400357.08,1600348.25,6419483.73,2205216.10,6330101.06,1362871.78,6311592.50,1793409.04,3128284.90,3102398.33,2089366.01
26.3229,1402866.42,1913068.20,47929831.19,26141734.78,904478.71,2838177.30,191577.70,3471269.39,326845.21,4487330.82,85195.24,2853830.22,820397.46,495994.68,1795429.01,4853153.14,2807169.66,4987903.16,5316782.41,1178953.13,4902181.94,4486691.71,5897251.90,926451.27,890653.42,3029509.09,989235.16,6203718.34,1514081.67,6240414.78,2148744.09,6348334.28,1383231.64,5996338.10,1783012.81,2999610.73,3137516.30,2094095.29
26.7279,1304343.82,1874150.42,45988475.80,26520392.44,864248.14,2617856.08,191173.58,3486518.53,316671.61,4529244.15,84190.66,2787804.94,813920.65,500103.81,1757884.19,4716601.33,2961147.99,5041970.67,5092299.43,1271678.03,4687038.81,4768826.04,5492437.07,884322.27,821331.74,3117878.70,911273.14,5965674.42,1618989.63,6099378.18,2104057.79,6105156.15,1399493.07,6063886.31,1723427.56,2999917.36,3043697.71,2115110.31
27.1329,1270727.19,1835609.03,45345398.76,25482186.90,914969.14,2609210.56,196225.59,3375296.99,303860.67,4370853.46,101275.77,2854423.33,825204.49,495789.26,1798590.94,4728706.92,2817228.67,4845619.01,5051442.49,1245075.88,4757794.29,4538555.83,5695572.18,912116.11,830978.52,3007766.68,958135.74,5829292.70,1602585.22,6291095.23,2032729.34,6344599.41,1324814.16,5884699.61,1700644.97,3060405.36,2970419.83,2047759.33
27.5379,1315851.06,1907704.77,45880486.37,24314952.55,849601.76,2646566.01,191173.58,3483350.43,323589.06,4306188.85,83186.14,2754019.14,815591.85,500925.63,1818184.95,4548828.77,2968406.06,4882038.51,5001493.45,1223650.59,4698988.14,4458883.26,5387406.22,887899.12,840210.55,3021994.95,948837.79,6009002.09,1502954.20,6178465.50,2116165.20,5977582.47,1296541.02,5828365.29,1647535.09,3100381.02,2913405.84,2016402.84
